"class","homophily","ratio_mean","ratio_se","attitude_mean","attitude_se","realized_seg_mean"
"high",-5,2.32227543571197,0.00482551201308254,-0.186080411249003,0.00956003140498093,-0.495229720375516
"high",-4,2.35527557412302,0.00514461890820381,-0.16645450236945,0.00949993589283666,-0.48580294428155
"high",-3,2.39512644574925,0.0056619749324026,-0.153925238452502,0.00952129251744948,-0.461618142151572
"high",-2,2.51460197137017,0.00683325534398469,-0.111440522122123,0.0093525086801593,-0.401401324478379
"high",-1,2.7328223801001,0.00789711001588852,-0.0326192476949615,0.00943695802880924,-0.260376584356455
"high",0,2.87181746120889,0.00910017889583407,0.0184404203807175,0.00999581634925239,-0.00611105422676902
"low",-5,1.76801367597388,0.00340106658047587,1.58669848207476,0.00355395082058217,-0.495229720375516
"low",-4,1.77329790782503,0.00375354163479241,1.59425026072712,0.00368820599350017,-0.48580294428155
"low",-3,1.83431458986571,0.00448443091523712,1.6223377780349,0.00388992409775186,-0.461618142151572
"low",-2,1.97076698336413,0.0063073568150573,1.69165576592824,0.00432184296975309,-0.401401324478379
"low",-1,2.34251481917475,0.00919329893484914,1.85743563513712,0.00488817043850559,-0.260376584356455
"low",0,2.86612637816589,0.009482684063528,2.05996762380357,0.00451856142875354,-0.00611105422676902
"mid",-5,3.45788216933594,0.00797131057039618,1.23512533133363,0.00658206451496327,-0.495229720375516
"mid",-4,3.43218510512211,0.00838381884164227,1.21514247782285,0.00681128024538145,-0.48580294428155
"mid",-3,3.4182240358534,0.00834194634924987,1.21860579983963,0.00677321186575912,-0.461618142151572
"mid",-2,3.34892320971301,0.00823164803939305,1.19978047257025,0.00671119090791929,-0.401401324478379
"mid",-1,3.23882909279956,0.0086205911021437,1.16852052574094,0.00679266024721765,-0.260376584356455
"mid",0,2.89448550053287,0.00927300228866465,1.05154656390686,0.00692580188743675,-0.00611105422676902
