"homophily","ratio_mean","ratio_se","realized_seg_mean","alpha"
0,3.03484734814656,0.000588792106351894,-0.00483740169297186,0
0.25,3.04502280279782,0.000604323465322013,0.0799650984790401,0
0.5,3.03706635161578,0.000515988351827712,0.162007017024231,0
0.75,3.04077576460888,0.000509115158479838,0.252370929571725,0
1,3.03748013164325,0.000516869185297759,0.340644517415725,0
1.25,3.03496069982496,0.000563346109622074,0.422814499308776,0
1.5,3.033496703154,0.000545620750652905,0.50638681434832,0
1.75,3.03796635324465,0.000505129189624868,0.580736439808412,0
2,3.03103335689075,0.000542919373579267,0.651098170056412,0
2.25,3.03425919637905,0.000541921146797136,0.711321004667329,0
2.5,3.02487728596958,0.000472625747096347,0.763254545810304,0
2.75,3.02247484109936,0.000464368275981693,0.808133333279001,0
3,3.02509332736069,0.000519407220846528,0.845678896242579,0
3.25,3.03922535603559,0.000487061107725927,0.875304739727897,0
3.5,3.0355963866339,0.000532092483897712,0.901742706703779,0
3.75,3.04396076633889,0.000581581391868611,0.922278476183942,0
4,3.03473145136676,0.000400565806028351,0.93654821130508,0
4.25,3.03944064515196,0.000517027166314604,0.950750233065423,0
4.5,3.02706772791162,0.000492217702043802,0.960732276675253,0
4.75,3.03422146304505,0.000502099078088191,0.969961792867054,0
5,3.02695066403067,0.000510909008144712,0.975435086303821,0
0,2.99411724446924,0.00115199356691719,-0.00483740169297186,0.25
0.25,3.00121589643325,0.00117458409672108,0.0799650984790401,0.25
0.5,2.97928135971089,0.00119500910155227,0.162007017024231,0.25
0.75,2.96218779126012,0.00126776147462969,0.252370929571725,0.25
1,2.9273976006979,0.00134268591283938,0.340644517415725,0.25
1.25,2.89131842735249,0.00141461032492233,0.422814499308776,0.25
1.5,2.84657695087317,0.00145017437291264,0.50638681434832,0.25
1.75,2.8082727750006,0.00144964242779798,0.580736439808412,0.25
2,2.75548718215724,0.0014243718727336,0.651098170056412,0.25
2.25,2.71522108827208,0.0013666121753271,0.711321004667329,0.25
2.5,2.67153720417428,0.00127699196787663,0.763254545810304,0.25
2.75,2.63686137018257,0.00118668661233113,0.808133333279001,0.25
3,2.61120026286927,0.0011257038024673,0.845678896242579,0.25
3.25,2.59664106675479,0.00101903664062343,0.875304739727897,0.25
3.5,2.57194024048094,0.000960593998060089,0.901742706703779,0.25
3.75,2.56317998114051,0.000903931309680411,0.922278476183942,0.25
4,2.54396534016071,0.000794465399990598,0.93654821130508,0.25
4.25,2.53520938639219,0.000764261544179151,0.950750233065423,0.25
4.5,2.51849537096459,0.000708814635015374,0.960732276675253,0.25
4.75,2.51917664903077,0.000668726968669645,0.969961792867054,0.25
5,2.50974425872179,0.000641774953706136,0.975435086303821,0.25
0,2.95890152408094,0.00203632693758841,-0.00483740169297186,0.5
0.25,2.96313401787064,0.0020688568018563,0.0799650984790401,0.5
0.5,2.92850400927117,0.00217348582654889,0.162007017024231,0.5
0.75,2.89241945671782,0.00231388889630527,0.252370929571725,0.5
1,2.82910637902373,0.00244903663628586,0.340644517415725,0.5
1.25,2.763025749918,0.00254957926246347,0.422814499308776,0.5
1.5,2.68054458859342,0.00261977814814929,0.50638681434832,0.5
1.75,2.6053732471913,0.00260577058440836,0.580736439808412,0.5
2,2.51407780508217,0.0025246924427552,0.651098170056412,0.5
2.25,2.43823940778271,0.00240501736234794,0.711321004667329,0.5
2.5,2.3669797128832,0.00223463004064839,0.763254545810304,0.5
2.75,2.30689734042857,0.00204959919898707,0.808133333279001,0.5
3,2.25961793827556,0.00190828752530729,0.845678896242579,0.5
3.25,2.22319134929788,0.00171209625359324,0.875304739727897,0.5
3.5,2.18302310258592,0.00156659279668029,0.901742706703779,0.5
3.75,2.16168064721547,0.00143761386152132,0.922278476183942,0.5
4,2.13538300879646,0.00130653067937508,0.93654821130508,0.5
4.25,2.11706112512682,0.00120397889492925,0.950750233065423,0.5
4.5,2.09738626786008,0.00109950911868931,0.960732276675253,0.5
4.75,2.09327696953056,0.00101135601919973,0.969961792867054,0.5
5,2.08243980269286,0.000952666287029933,0.975435086303821,0.5
0,2.92890072267681,0.00293289955811041,-0.00483740169297186,0.75
0.25,2.9304557949742,0.002974838699307,0.0799650984790401,0.75
0.5,2.88426259195166,0.00313752548715186,0.162007017024231,0.75
0.75,2.83078371058233,0.00332825605682983,0.252370929571725,0.75
1,2.74152630357593,0.0035011966873204,0.340644517415725,0.75
1.25,2.64851383271719,0.00361368461379105,0.422814499308776,0.75
1.5,2.53300728307765,0.00368895773910782,0.50638681434832,0.75
1.75,2.42595705498543,0.00363610505327482,0.580736439808412,0.75
2,2.3022800916303,0.00348462943779507,0.651098170056412,0.75
2.25,2.19739090373028,0.00329016533393955,0.711321004667329,0.75
2.5,2.10404803443956,0.00302774523584483,0.763254545810304,0.75
2.75,2.02411001465415,0.00274715597741335,0.808133333279001,0.75
3,1.96053226669417,0.00253577765454664,0.845678896242579,0.75
3.25,1.90765959739604,0.00225220621049061,0.875304739727897,0.75
3.5,1.85641857120018,0.00203682077662632,0.901742706703779,0.75
3.75,1.82604530811379,0.00185474202838625,0.922278476183942,0.75
4,1.79492068909302,0.00168849457282437,0.93654821130508,0.75
4.25,1.77002127258968,0.00154054270044505,0.950750233065423,0.75
4.5,1.7484611742229,0.00139799437623834,0.960732276675253,0.75
4.75,1.74087342125898,0.00127249313964423,0.969961792867054,0.75
5,1.72920986873979,0.00119272070148708,0.975435086303821,0.75
0,2.90385314918487,0.00381585008258295,-0.00483740169297186,1
0.25,2.9028998381837,0.00386604172653318,0.0799650984790401,1
0.5,2.84614238984988,0.00407158770326221,0.162007017024231,1
0.75,2.77667509515447,0.00429945147333153,0.252370929571725,1
1,2.66370849181611,0.00449197236880026,0.340644517415725,1
1.25,2.54640938392485,0.00460035409747886,0.422814499308776,1
1.5,2.40188701698286,0.00465825846213862,0.50638681434832,1
1.75,2.26716673124978,0.00454906203790468,0.580736439808412,1
2,2.11621427210435,0.00431294909306679,0.651098170056412,1
2.25,1.98763842279918,0.00403449514764763,0.711321004667329,1
2.5,1.87668806216787,0.00367542360961741,0.763254545810304,1
2.75,1.78136992412965,0.00329943819235963,0.808133333279001,1
3,1.70573017135222,0.00302378313136084,0.845678896242579,1
3.25,1.64070101471807,0.00265556959838177,0.875304739727897,1
3.5,1.58181491824294,0.00238042826039135,0.901742706703779,1
3.75,1.54517269175757,0.00215505330612036,0.922278476183942,1
4,1.51096221195541,0.001956790428742,0.93654821130508,1
4.25,1.4817592477476,0.00177411234547831,0.950750233065423,1
4.5,1.45914378577208,0.00160274770451372,0.960732276675253,1
4.75,1.44909585990088,0.00144593991149133,0.969961792867054,1
5,1.43704323699142,0.00135159766615394,0.975435086303821,1
