"sigma_log","homophily","ratio_mean","ratio_se"
0.05,0,2.71821428649558,0.00319044207183244
0.05,5,1.16199475624643,0.00101785822021889
0.1,0,2.79189281412309,0.00336055037169443
0.1,5,1.28642369473246,0.00112192449011535
0.15,0,2.89226095064716,0.00376604014981515
0.15,5,1.42735574065204,0.00132418594881466
0.25,0,3.17325369445507,0.00501818360408103
0.25,5,1.77306855919504,0.00203628328800421
0.4,0,3.85128447722163,0.00855001709001023
0.4,5,2.4464670998497,0.00394898370314547
0.6,0,5.33569783041941,0.0155510881779233
0.6,5,3.90696683246263,0.00947186998993935
