"degree_target","homophily","ratio_mean","ratio_se","realized_seg_mean"
5,0,2.56994748410302,0.0101553674111619,-0.00614992297606221
5,1,2.41759902193226,0.0100686590505752,0.351736953152208
5,2,1.99288896684998,0.00925327172336992,0.674455439685698
5,3,1.62010539343158,0.00685542809190624,0.860168101490328
5,4,1.45828041658645,0.00507765975108435,0.942329402103304
5,5,1.3781145974922,0.00367682797987147,0.977177854411566
15,0,2.91070861372939,0.00494606871825907,-0.00596182303876333
15,1,2.65396546048675,0.00580239987861216,0.341434989100527
15,2,2.11981226734498,0.00557357986900551,0.647424723560623
15,3,1.69288961401159,0.00376355157854899,0.845364780832033
15,4,1.51155572986777,0.00245011737211768,0.937394999483044
15,5,1.43254199364819,0.00177137807971743,0.975303126753126
50,0,2.98769811261968,0.00251421552432861,-0.00420242253356999
50,1,2.73938104742148,0.00377868395701929,0.290518836737172
50,2,2.2561623456727,0.0041500805991045,0.572871222100123
50,3,1.82074178111385,0.00286965257566615,0.77732110078477
50,4,1.57580561886036,0.00172765530266911,0.900457416978637
50,5,1.46039465519771,0.00107278947678019,0.959283163976143
