"class","homophily","ratio_mean","ratio_se","attitude_mean","attitude_se","bias_mean_m","bias_iov_m","realized_seg_mean","raw_share_mean"
"high",0,2.90711354582959,0.00668521773813091,0.0300893470995924,0.00692593526273653,-0.659294460351589,0.00478470838711059,-0.00483740169297186,0.330266666666667
"high",0.25,2.91599845042279,0.00685889049232273,0.0326376740690756,0.00695597924087997,7.97144481778955,-0.00262293466771739,0.0799650984790399,0.386746666666667
"high",0.5,2.84726656478433,0.00746872760569408,0.00883553027556118,0.0071679419479295,16.5198546139657,-0.0133179140630188,0.162007017024231,0.441475555555556
"high",0.75,2.77651574272909,0.0078021826779784,-0.0250912266759283,0.00715004413440988,25.8092685183617,-0.0258752339570527,0.252370929571725,0.501724444444444
"high",1,2.64029484265937,0.00814225623388707,-0.073888933786622,0.0072533811971554,34.0082522553803,-0.0413444575713682,0.340644517415725,0.560542222222222
"high",1.25,2.51144082834459,0.00816029930583775,-0.128549031213106,0.00737615972909476,42.7412231325116,-0.0563954460955113,0.422814499308776,0.615324444444444
"high",1.5,2.34800170147134,0.00806413273721436,-0.199993312110803,0.00732401497119356,50.98630566613,-0.071956547991443,0.50638681434832,0.671022222222222
"high",1.75,2.20210186215654,0.00780250174432327,-0.263116900688209,0.00731268472613351,58.2195682426718,-0.0861073096611768,0.580736439808412,0.720595555555556
"high",2,2.03884376918409,0.00701569827517569,-0.335102256172767,0.00726349791729484,65.24419585377,-0.100410704359633,0.651098170056412,0.767475555555556
"high",2.25,1.90520399305569,0.00639408302616314,-0.401992862292635,0.00708751399290519,71.4061783056444,-0.11207024815325,0.711321004667329,0.807608888888889
"high",2.5,1.80632076353822,0.00560892028408904,-0.44909211873972,0.00714935704455444,76.0495379438461,-0.121616544555267,0.763254545810304,0.842231111111111
"high",2.75,1.69617233142989,0.00481902600240704,-0.511879696202602,0.00697344548665712,81.2187854675654,-0.132388667701464,0.808133333279001,0.872142222222222
"high",3,1.65224563512,0.00459297263862233,-0.537825336220177,0.00704721787843197,84.7303192146603,-0.138752872182755,0.845678896242579,0.897164444444444
"high",3.25,1.58383761473849,0.00365372901428165,-0.572125105286007,0.00692697776047836,88.0707744059965,-0.146924110186359,0.875304739727897,0.916897777777778
"high",3.5,1.54411235412606,0.00335869816903801,-0.597421480178556,0.00677434517034991,90.0299166216106,-0.150265273785902,0.901742706703779,0.934524444444444
"high",3.75,1.5105570365733,0.00295652728515125,-0.618545399584247,0.00686399028344691,92.7367521723705,-0.156485751333359,0.922278476183942,0.948213333333333
"high",4,1.48169984034282,0.00261838210374772,-0.634776952146438,0.00672079492841439,93.2889986695459,-0.158102974168726,0.93654821130508,0.957715555555556
"high",4.25,1.4582898375047,0.00251613117705044,-0.650467631913355,0.00669009684146171,95.1577263857589,-0.161090702372481,0.950750233065423,0.967182222222222
"high",4.5,1.44041257313019,0.00220779143434332,-0.66102799991344,0.00667125231956773,95.5947394807593,-0.162360605971346,0.960732276675253,0.973831111111111
"high",4.75,1.43292441460629,0.00196775327381028,-0.666778939980978,0.0066664863860807,97.1215510318874,-0.164921627607547,0.969961792867054,0.979982222222222
"high",5,1.41662511006232,0.00187214991957268,-0.673062492532878,0.00665158630808869,96.6403697552547,-0.165210949600584,0.975435086303821,0.983626666666667
"low",0,2.88760395294471,0.00660154393308603,2.07046230777715,0.00320029628306096,0.421164365427983,0.00154845549751902,-0.00483740169297186,0.330266666666667
"low",0.25,3.00614693006603,0.00618727236202045,2.11086526344158,0.00300868143949219,-7.92445782630192,0.0245255438264413,0.0799650984790399,0.386746666666667
"low",0.5,3.0303046558031,0.00583250951168688,2.12507197371893,0.00287993145386524,-16.5723678350827,0.0422326254125099,0.162007017024231,0.441475555555556
"low",0.75,3.03770727542444,0.00590514394635145,2.1222104369384,0.00294927842637206,-24.9954428452097,0.0591015335419716,0.252370929571725,0.501724444444444
"low",1,2.97829328551123,0.00619731654308418,2.10306430794957,0.00305369405881045,-34.7073141183463,0.0740023052755744,0.340644517415725,0.560542222222222
"low",1.25,2.89083291261202,0.0066592907637009,2.06782299719529,0.0031997400335949,-42.9634343641493,0.0801786636799199,0.422814499308776,0.615324444444444
"low",1.5,2.76853783404282,0.00723836800911507,2.02167673531855,0.00351802350837903,-51.1568318437388,0.0829638416476374,0.50638681434832,0.671022222222222
"low",1.75,2.63052974467652,0.00733021777123168,1.97031948457794,0.00366898678073743,-58.3821095249761,0.0798139843643312,0.580736439808412,0.720595555555556
"low",2,2.45697970701814,0.00771123827428538,1.89749568603529,0.0039986198286225,-65.4804500174928,0.063182929251333,0.651098170056412,0.767475555555556
"low",2.25,2.295104086128,0.00763449682832365,1.82987383361327,0.00397441073660192,-72.0339734979471,0.0483931083487958,0.711321004667329,0.807608888888889
"low",2.5,2.14179962397387,0.00732796619066397,1.7574386547327,0.00403012731883926,-76.2478569949519,0.0280884792426016,0.763254545810304,0.842231111111111
"low",2.75,2.01663247195018,0.00679999541362727,1.69834798858734,0.00394285724480218,-80.5746009018016,0.00418556554997597,0.808133333279001,0.872142222222222
"low",3,1.89210623033175,0.0064383978539873,1.62935762289003,0.00389956239570116,-84.6665186437529,-0.0215747600916969,0.845678896242579,0.897164444444444
"low",3.25,1.79390220962474,0.005925170108526,1.5805039630818,0.00381055548752795,-88.0083843419794,-0.0443997663972993,0.875304739727897,0.916897777777778
"low",3.5,1.70895984314773,0.00537337928496669,1.53988013016577,0.00366971641427683,-90.5634816869724,-0.0645758179999157,0.901742706703779,0.934524444444444
"low",3.75,1.64485991131998,0.00496127496216845,1.49610363088232,0.00350380345742649,-92.136069798449,-0.0844048211147984,0.922278476183942,0.948213333333333
"low",4,1.59659542174605,0.004592492270448,1.47495040814932,0.00334559251655813,-93.8013539263954,-0.0972589458005239,0.93654821130508,0.957715555555556
"low",4.25,1.54866582497428,0.00410702720467785,1.4478436625283,0.00324992548070468,-95.2694762362866,-0.111752690496966,0.950750233065423,0.967182222222222
"low",4.5,1.51094000991854,0.00377950621679019,1.4235658123432,0.00308957354438864,-95.8130937800505,-0.122799250361058,0.960732276675253,0.973831111111111
